Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_F1_Macro,Val_F1_Weighted,Val_Precision,Val_Recall
0,0.6251701977951368,0.7147147147147147,0.3957118326907874,0.8063063063063063,0.7738139797916558,0.7480969619823076,0.8909253757693455,0.8294351026634491
1,0.2859008594223706,0.8742492492492493,0.18716449681045572,0.9204204204204204,0.9259990353120114,0.9195552218776002,0.9254517653600222,0.9270812302308366
2,0.19978572743550707,0.9211711711711712,0.18971079330026408,0.9159159159159159,0.922568374557455,0.9153500588001893,0.9241884627087692,0.9226073362247518
3,0.15333341402031828,0.9421921921921922,0.4717648237087345,0.8393393393393394,0.8423047767019195,0.8285538892367441,0.8514480615635147,0.8519528007716984
4,0.12916331645419837,0.9542042042042042,0.16283873421519582,0.9354354354354354,0.9410291305759729,0.9353423576979547,0.9412441157724176,0.9416627408753394
5,0.10387534966576656,0.948948948948949,0.08939920674169652,0.9534534534534534,0.9573969485380904,0.9532378775726401,0.9606775004231937,0.9587567579693564
6,0.09447481021678295,0.9534534534534534,0.12873464176782431,0.9444444444444444,0.9479940946267386,0.9437407610449369,0.9568722148339983,0.946848505830412
7,0.10861011242655355,0.9527027027027027,0.16753823919300673,0.9294294294294294,0.9354534968279044,0.9293090540325928,0.9351960345378957,0.9357404042443412
8,0.10789360695869962,0.9579579579579579,0.09617193808637801,0.9459459459459459,0.9503717985883114,0.9457455304738107,0.9506526251809272,0.9504004307153914
9,0.09242115519336114,0.9564564564564565,0.14195784450089813,0.9504504504504504,0.9543470026085671,0.9498070994590401,0.960837812387977,0.9564685824528345
10,0.11577909653799497,0.956081081081081,0.1061721450397971,0.9444444444444444,0.9485700696218965,0.9438734648335626,0.9514579759862779,0.9484151019584091
11,0.08269979524555861,0.9602102102102102,0.09412115705740234,0.9414414414414415,0.9467132561694694,0.9414620997936133,0.9468637992831542,0.9470242501738566
12,0.09548701644068606,0.956081081081081,0.10687493100785564,0.9504504504504504,0.9545827764835,0.9501058143504532,0.9594396192210239,0.9562442515198422
13,0.09209207804583923,0.9605855855855856,0.10937635425932032,0.9519519519519519,0.955962317116248,0.9514619664306899,0.9607967662963479,0.9576687529443436
14,0.0726959963002141,0.9602102102102102,0.10616200900033952,0.9519519519519519,0.9561781609195402,0.9517383763073418,0.9596893913440677,0.9574444220113513
15,0.07813238555612953,0.9583333333333334,0.1210165682127531,0.9459459459459459,0.9501633986928105,0.9454822469528352,0.9538140020898642,0.9497274379164143
